label,lat,long,riverName,stationGuid,wiskiID
Ulting Sarasota,51.746683,0.624437,River Chelmer,052d0819-2a32-47df-9b99-c243c9c8235b,037048U
Beggearn Huish,51.146322,-3.373695,Washford River,48513a18-e485-4317-ae92-93bf4f7f3e54,510810
Adwick,53.512713,-1.282505,River Dearne,f22f80f8-1bb0-4e77-b225-291487060c6f,F0803
Wellesbourne,52.197839,-1.602416,River Dene,95a1245a-5329-4a2b-9024-d70ebe9707df,2048
Thorverton,50.804172,-3.511302,River Exe,3c4d4f78-2d0e-474a-b884-65a9daca18fb,SS90F011
Iwood,51.363977,-2.78889,Congresbury Yeo,959f3e4f-bb6e-4f4a-8082-0157eea99482,521410
Coniston Upstream,54.365471,-3.069004,Church Beck,fbecd84a-70b6-4725-80ba-67c7adb3cae7,737529
Sheepwash,52.523665,-2.039788,River Tame,70f658a0-3d32-47db-a97c-ed5e25da46f2,4101
Toft Newton- Ancholme,53.374006,-0.450095,River Ancholme,f865f658-a32e-4601-b61e-e5c2f02c578a,29009
Low Moor,54.488963,-1.438958,River Tees,d031ef9f-4e50-4c68-aa43-9b5589c32874,F3606
Methley,53.726053,-1.382684,River Calder,825e7c96-b693-4366-8e39-a7fc587d442a,F1301
Llanyblodwel,52.794359,-3.110219,"['Afon Tanat', 'River Tanat']",cf8c9032-6d1d-473d-b304-3837260188cb,2038
Dewsbury,53.688804,-1.6344,River Calder,d7896c1f-b892-4272-b78a-9bb4d5a53c5b,F1306
Ashbrook,53.167657,-2.492504,River Weaver,406a65e7-477b-4964-ba9b-47e452eca166,680504
Basford Bridge,53.065004,-2.027783,River Churnet,68903310-c62d-4434-a7d4-96e766335179,4061
Bromsberrow,51.996906,-2.373352,Glynch Brook,975b896f-1d6a-4fb2-a888-794eb6045ee8,2607
Trenowth,50.319157,-4.898882,River Fal,ddb6b643-06b0-4e48-b74c-f12f6f946968,S19589_FW
