code_site,libelle_site,code_station,libelle_station,type_station,coordonnee_x_station,coordonnee_y_station,code_projection,longitude_station,latitude_station,influence_locale_station,commentaire_station,altitude_ref_alti_station,code_systeme_alti_site,code_commune_station,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,descriptif_station,date_maj_station,date_ouverture_station,date_fermeture_station,commentaire_influence_locale_station,code_regime_station,qualification_donnees_station,code_finalite_station,type_contexte_loi_stat_station,type_loi_station,date_debut_ref_alti_station,date_activation_ref_alti_station,date_maj_ref_alti_station,libelle_departement,en_service,geometry.type,geometry.crs.type,geometry.crs.properties.name,geometry.coordinates1,geometry.coordinates2
H4330410,L'Iton aux Aspres,H433041010,L'Iton aux Aspres,LIMNI,523489.0,6845967.0,26,0.60166796,48.689726985,2.0,La station n'est plus disponible (démontage en janvier 2020).,215730.0,3.0,61422,ASPRES,61,28,NORMANDIE,H43-0400,L'Iton,http://id.eaufrance.fr/CEA/H43-0400,,2020-06-26T00:00:00Z,2004-12-03T00:00:00Z,2020-02-05T00:00:00Z,,1,16,2.0,1.0,2.0,2004-12-03T00:00:00Z,2013-11-18T00:00:00Z,2013-11-18T00:00:00Z,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.601667960480691,48.6897269852285
H4330420,L'Iton à Crulai,H433042010,L'Iton à Crulai,LIMNI,528136.0,6848482.0,26,0.663760702,48.713590698,1.0,,205510.0,3.0,61140,CRULAI,61,28,NORMANDIE,H43-0400,L'Iton,http://id.eaufrance.fr/CEA/H43-0400,,2023-10-05T00:00:00Z,1980-09-19T00:00:00Z,2011-01-19T00:00:00Z,,1,20,12.0,1.0,2.0,1980-09-19T00:00:00Z,2020-02-04T00:00:00Z,2020-02-17T00:00:00Z,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.66376070198851,48.7135906976647
H6000210,La Risle à Échauffour et à Sainte-Gauburge-Sainte-Colombe [observateur],H600021010,La Risle à Échauffour [observateur],LIMNI,511031.0,6849508.0,26,0.430946285,48.718036538,2.0,,,,61150,ECHAUFFOUR,61,28,NORMANDIE,H6--0200,La Risle,http://id.eaufrance.fr/CEA/H6--0200,,2023-10-05T00:00:00Z,2006-08-01T00:00:00Z,2013-05-01T00:00:00Z,,1,16,,2.0,3.0,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.430946285345188,48.7180365376454
H6020210,La Risle à Rai,H602021010,La Risle à Rai,LIMNI,522210.514122,6852566.3515797,26,0.58156195,48.748705218,1.0,,205320.0,3.0,61342,RAI,61,28,NORMANDIE,H6--0200,La Risle,http://id.eaufrance.fr/CEA/H6--0200,,2023-12-04T00:00:00Z,1965-09-01T00:00:00Z,,,1,20,12.0,1.0,2.0,1965-09-01T00:00:00Z,2013-11-18T00:00:00Z,2023-12-04T00:00:00Z,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.581561950267131,48.7487052183159
H6056010,Le Vernet à Glos-la-Ferrière,H605601010,Le Vernet à Glos-la-Ferrière,LIMNI,524187.0,6864749.0,26,0.60340297,48.85876244,1.0,,,,61191,GLOS-LA-FERRIERE,61,28,NORMANDIE,H6056000,Le Vernet,http://id.eaufrance.fr/CEA/H6056000,,2023-10-05T00:00:00Z,1978-01-01T00:00:00Z,1996-12-18T00:00:00Z,,1,20,12.0,1.0,2.0,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.603402970461234,48.8587624395426
H6056410,Le Val de Launay à Glos-la-Ferrière,H605641010,Le Val de Launay à Glos-la-Ferrière,LIMNI,523503.0,6863967.0,26,0.594409425,48.85154597,1.0,,,,61191,GLOS-LA-FERRIERE,61,28,NORMANDIE,H6056400,Le Val de Launay,http://id.eaufrance.fr/CEA/H6056400,,2023-10-05T00:00:00Z,1978-01-01T00:00:00Z,1996-12-18T00:00:00Z,,1,20,12.0,1.0,2.0,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.594409425385628,48.8515459700017
H6100410,La Charentonne à Bocquencé,H610041010,La Charentonne à Bocquencé,LIMNI,515256.0,6863925.0,26,0.482098513,48.848856556,1.0,,204940.0,3.0,61047,BOCQUENCE,61,28,NORMANDIE,H61-0400,La Charentonne,http://id.eaufrance.fr/CEA/H61-0400,,2021-10-04T00:00:00Z,1980-09-01T00:00:00Z,,,1,20,12.0,1.0,2.0,1980-09-01T00:00:00Z,2013-11-18T00:00:00Z,2021-04-13T00:00:00Z,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.482098512939757,48.8488565555159
I0109910,[La Siffletière (source)] à Villers-en-Ouche,I010991001,[La Siffletière (source)] à Villers-en-Ouche,LIMNI,515470.0,6864332.0,26,0.484836546,48.852576277,1.0,,,,61506,VILLERS-EN-OUCHE,61,28,NORMANDIE,00000000,,http://id.eaufrance.fr/CEA/00000000,,2023-10-05T00:00:00Z,1990-06-01T00:00:00Z,1992-02-11T00:00:00Z,,1,20,12.0,1.0,2.0,,,,ORNE,False,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.484836546327263,48.8525762774796
I1011010,La Touques à Mardilly,I101101001,La Touques à Mardilly,LIMNI,500198.0,6862494.0,26,0.27769958,48.831501468,1.0,,,,61252,MARDILLY,61,28,NORMANDIE,I0--0200,La Touques,http://id.eaufrance.fr/CEA/I0--0200,,2023-04-11T00:00:00Z,1997-12-01T00:00:00Z,,,1,20,127.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.277699579582042,48.8315014679551
I2001010,La Dives à Saint-Lambert-sur-Dive,I200101001,La Dives à Saint-Lambert-sur-Dive,LIMNI,485212.0,6861184.0,26,0.074356827,48.814908493,1.0,,,,61413,SAINT-LAMBERT-SUR-DIVE,61,28,NORMANDIE,I1--0200,La Dives,http://id.eaufrance.fr/CEA/I1--0200,,2024-06-12T00:00:00Z,1978-07-01T00:00:00Z,,,1,12,127.0,1.0,2.0,,,,ORNE,True,Point,name,urn:ogc:def:crs:OGC:1.3:CRS84,0.0743568267269119,48.8149084925675
