station_co,site_name,latitude,longitude,state,rivname,basin_name
RJUATB2612,Manpur,24.01111111,74.25555556,RAJASTHAN,Binatel,
H119,Kadwan/Matiawa,24.52138889,83.63,BIHAR,,
Adhalaa,Adhala,19.61222222,74.10138889,MAHARASHTRA,,
7D909446,Gokavaram,17.23444444,81.84972222,ANDHRA PRADESH,,
Adhala,Adhala,19.61222222,74.10138889,MAHARASHTRA,,
MHRAADARS,Adivare,16.71555556,73.36,MAHARASHTRA,,
Vaghroli Tank,Vaghroli Tank,22.88333333,73.29166667,GUJARAT,Shedhi,
Sarola,Sarola,18.21583333,76.1225,MAHARASHTRA,Savla Nala,
Adkur,Adkur,16.01333333,74.265,MAHARASHTRA,,
Ainari,Ainari,16.57472222,73.81444444,MAHARASHTRA,,
MHKPAJARS001,Ajara,16.10638889,74.20666667,MAHARASHTRA,,
Ajaypur,Ajaypur.,20.01166667,79.50416667,MAHARASHTRA,,
RJRATB2102,Bhopalsagar,25.72611111,74.12388889,RAJASTHAN,Nekhadi nadi,
KASDOL_011,Mahanadi_ Kasdol,21.63888889,82.39166667,CHHATTISGARH,Mahanadi,
KASDOL_011,Mahanadi_ Kasdol,21.63888889,82.39166667,CHHATTISGARH,Mahanadi,
Ajnad,Ajnad,21.24444444,76.1425,MAHARASHTRA,,
RJJHTB1431,Madansagar,24.54222222,76.17111111,RAJASTHAN,Kali Sindh River,
RJBLTA20609,Mandal,25.44805556,74.56694444,RAJASTHAN,Kothari River,
Nalwadi,Nalwadi,20.27833333,73.75805556,MAHARASHTRA,Kadva River,
MHKOABGD,Akale Bhorao Bridge,18.08888889,73.47444444,MAHARASHTRA,,
Akalpa,Akalpa,17.72777778,73.68333333,MAHARASHTRA,,
Akhavane,Akhavane,16.6,73.80055556,MAHARASHTRA,,
MHAMNHP0027,Akkalkuwa,21.53388889,74.01666667,GUJRAT,,
Akola,Akola,20.70777778,77.0025,MAHARASHTRA,,
MHWAAKARS,Akre,19.93888889,73.13833333,MAHARASHTRA,,
Aksapur,Aksapur,19.74527778,79.62972222,MAHARASHTRA,,
Usthale,Usthale (Hedpada),20.19888889,73.545,MAHARASHTRA,Damanganga,
Warkhed,Warkhed,21.12638889,76.78527778,MAHARASHTRA,Wan,
Dusarbeed,Dusarbeed,19.98388889,76.28111111,MAHARASHTRA,Purna River,
Alandi,Alandi,18.67638889,73.9,MAHARASHTRA,,
Ambad,Ambad,19.61333333,75.79388889,MAHARASHTRA,,
AmbavadeKrd,Ambavade-1 (Karad),17.25833333,74.05833333,MAHARASHTRA,,
RJKATB1602,Khirkhiri,26.35527778,76.72111111,RAJASTHAN,Gore Nadi,
Ambazari,Ambazari,21.71555556,79.09138889,MADHYA PRADESH,,
RJKOTB1706,Ranpur,25.03333333,75.82583333,RAJASTHAN,Chambal,
RJBHTB0423,Januthar,27.40194444,77.22333333,RAJASTHAN,Khari Nadi,
